omega_p_MHz,ratio,delta_MHz,omega_c_MHz,omega_R_MHz,T_c_ns,T_f_ns,sigma_ns,t_total_ns,M1,M2,F_bar,F_00,F_01,F_10,F_11
50.0,3.0,450.0,70.0,150.0,7.142857142857143,172.85951198152537,1.291278310738718,360.0047382487651,159.09902576697323,53.03300858899107,0.9942429371461478,0.996626639682491,0.9950954386274488,0.9950954386274488,0.9901542316472025
50.0,3.0,500.0,50.0,150.0,10.0,192.06612442391705,1.7713008377760187,404.1322488478341,176.77669529663692,58.92556509887898,0.9931096791498522,0.9957380483660525,0.9951092351359916,0.9951092351371246,0.9864821979602398
50.0,3.0,500.0,60.0,150.0,8.333333333333334,192.06612442391705,1.7713008377760187,400.7989155145008,176.77669529663692,58.92556509887898,0.9936328292152183,0.9957361447799631,0.9951189104809411,0.9951189104815124,0.9885573511184569
50.0,3.0,500.0,70.0,150.0,7.142857142857143,192.06612442391705,1.7713008377760187,398.41796313354837,176.77669529663692,58.92556509887898,0.993951535576275,0.9957374200394026,0.9951258517198788,0.9951258517549249,0.9898170187908939
50.0,3.0,550.0,50.0,150.0,10.0,211.2727368663088,2.3576014150798823,442.5454737326176,194.4543648263006,64.81812160876687,0.993136801740939,0.9949341202643778,0.9950803247593044,0.9950803247609709,0.9874524371791026
50.0,3.0,550.0,60.0,150.0,8.333333333333334,211.2727368663088,2.3576014150798823,439.21214039928424,194.4543648263006,64.81812160876687,0.9935483204459963,0.9949272016133686,0.9950895029593356,0.9950895029593356,0.9890870742519456
50.0,3.0,550.0,70.0,150.0,7.142857142857143,211.2727368663088,2.3576014150798823,436.8311880183319,194.4543648263006,64.81812160876687,0.9938022556900028,0.9949331579874962,0.9950984515017467,0.9950984515017467,0.9900789617690215
50.0,3.0,600.0,50.0,150.0,10.0,230.47934930870048,3.0608078476769607,480.95869861740096,212.1320343559643,70.71067811865477,0.9933134099067764,0.9942474587749311,0.9950049199677746,0.9950049199677746,0.9889963409166255
50.0,3.0,600.0,60.0,150.0,8.333333333333334,230.47934930870048,3.0608078476769607,477.62536528406764,212.1320343559643,70.71067811865477,0.9935732884986164,0.9942457068094162,0.9950156057677046,0.9950156057688315,0.9900162356485129
50.0,3.0,600.0,70.0,150.0,7.142857142857143,230.47934930870048,3.0608078476769607,475.24441290311523,212.1320343559643,70.71067811865477,0.9937323128538715,0.9942472267252978,0.995022834554059,0.995022834554059,0.9906363555820701
50.0,3.2,400.0,50.0,160.0,10.0,153.65289953913367,0.9069060289413221,327.30579907826734,141.42135623730954,44.19417382415923,0.9894253153415756,0.9809343180319823,0.9943439620715553,0.9943439620715553,0.9880790191912096
50.0,3.2,400.0,60.0,160.0,8.333333333333334,153.65289953913367,0.9069060289413221,323.97246574493397,141.42135623730954,44.19417382415923,0.9898888610661276,0.9809316941680322,0.9943557640669636,0.9943557641095473,0.9899122219199675
50.0,3.2,400.0,70.0,160.0,7.142857142857143,153.65289953913367,0.9069060289413221,321.5915133639816,141.42135623730954,44.19417382415923,0.9901666359149951,0.9809349986747398,0.994362310813547,0.9943623108143531,0.9910069233573403
50.0,3.2,450.0,50.0,160.0,10.0,172.85951198152537,1.291278310738718,365.7190239630508,159.09902576697323,49.71844555217913,0.9890358193857332,0.9804046910493187,0.9945710803050323,0.9945710803063148,0.9865964258822668
50.0,3.2,450.0,60.0,160.0,8.333333333333334,172.85951198152537,1.291278310738718,362.38569062971743,159.09902576697323,49.71844555217913,0.9895800147744801,0.9804031647768552,0.9945822948421678,0.9945822949015096,0.9887523045773878
