a_um,omega_p_MHz,ratio,delta_MHz,omega_c_MHz,omega_R_MHz,V_ct_MHz,V_DD_MHz,V_cc_MHz,R_DD,R_AA,selectivity_ok,T_c_ns,T_f_ns,sigma_ns,t_total_ns,M1,M2,F_bar,F_00,F_01,F_10,F_11,n_neighbors_total,n_neighbors_pass,robust_score,pass
4.5,50.0,3.0,500.0,50.0,150.0,310.38980792825134,1.0922755301152902,-1.3698604360596933,284.1680504327416,226.5849861472499,1,10.0,192.06612442391705,1.7713008377760187,404.1322488478341,124.15592317130054,41.38530772376684,0.9908572520952292,0.9955517530693277,0.9903313470533495,0.9903313470549346,0.9872145612033053,7,6,0.8571428571428571,1
4.25,60.0,3.5,800.0,50.0,210.0,368.44969668991695,1.5391243418092353,-1.9302689512767408,239.38916868588123,190.87997889942366,1,10.0,213.4068049154635,2.429767953053527,446.8136098309271,163.7554207510742,46.78726307173549,0.9906572786819947,0.9984336111925005,0.9899490541999008,0.9899490541999008,0.9842973951356766,7,6,0.8571428571428571,1
4.25,50.0,3.5,600.0,70.0,175.0,368.44969668991695,1.5391243418092353,-1.9302689512767408,239.38916868588123,190.87997889942366,1,7.142857142857143,230.47934930870048,3.0608078476769607,475.24441290311523,176.85585441116012,50.530244117474325,0.9905897771310179,0.998637040456658,0.9897273416516829,0.9897273416516829,0.984267384764048,7,6,0.8571428571428571,1
3.75,70.0,3.5,800.0,70.0,245.0,536.3535881000184,3.261517256515775,-4.09038134430727,164.44910325968846,131.12557068706587,1,7.142857142857143,156.788672999116,0.9635717568161676,327.8630602839463,175.13586550204684,50.03881871487052,0.992308100569899,0.9987993401352562,0.9920389819436456,0.9920389819436456,0.9863550982570485,6,5,0.8333333333333334,1
3.75,50.0,3.5,400.0,70.0,175.0,536.3535881000184,3.261517256515775,-4.09038134430727,164.44910325968846,131.12557068706587,1,7.142857142857143,153.65289953913367,0.9069060289413221,321.5915133639816,171.6331481920059,49.038042340573114,0.9917407929822181,0.9992443318280116,0.9913570426233269,0.9913570426253564,0.9850047548521772,6,5,0.8333333333333334,1
4.0,60.0,3.0,500.0,50.0,180.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,1,10.0,133.3792530721647,0.5932050666634587,286.75850614432943,122.76159395599785,40.92053131866595,0.9920045039262841,0.9970519619814147,0.9921115229912558,0.9921115229935583,0.9867430077389079,9,7,0.7777777777777778,1
4.25,60.0,3.0,600.0,50.0,180.0,368.44969668991695,1.5391243418092353,-1.9302689512767408,239.38916868588123,190.87997889942366,1,10.0,160.05510368659765,1.025058355194457,340.1102073731953,122.81656556330564,40.93885518776855,0.9917560751208623,0.9956118376231753,0.9914227349665606,0.9914227349698364,0.9885669929238767,9,7,0.7777777777777778,1
3.75,60.0,3.0,500.0,70.0,180.0,536.3535881000184,3.261517256515775,-4.09038134430727,164.44910325968846,131.12557068706587,1,7.142857142857143,133.3792530721647,0.5932050666634587,281.04422043004365,148.98710780556067,49.66236926852022,0.991701491747394,0.99706707228949,0.9930641573753245,0.9930641574117007,0.9836105799130607,9,7,0.7777777777777778,1
4.0,70.0,3.0,600.0,50.0,210.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,1,10.0,117.591504749337,0.4065068349068206,255.183009498674,108.23062977345118,36.076876591150395,0.9925033172428673,0.9968996891511398,0.9919270374480362,0.9919270374505476,0.989259504921746,8,6,0.75,1
3.5,60.0,3.0,500.0,70.0,180.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,7.142857142857143,133.3792530721647,0.5932050666634587,281.04422043004365,183.24762712965276,61.08254237655091,0.9923672259180489,0.99706707228949,0.9936869667213377,0.9936869667231959,0.9850278979381719,8,6,0.75,1
